hour,avg_temp_F,temp_F
0,45.20260303571432,36.770000000000024
1,44.664812844488225,37.18940000000002
2,43.87763079292531,36.81716000000005
3,43.34151919572111,36.923000000000066
4,43.15505026244171,36.92336000000004
5,42.70875070422539,36.73124375000007
6,42.67727930424531,36.64315625000007
7,42.763480870327136,37.231700000000075
8,42.97485059200314,38.78612375000007
9,43.51332048611115,40.678036250000076
10,45.14423694595649,42.147320000000065
11,48.21250514876356,42.55676375000007
12,51.07433828855144,54.984076250000044
13,52.86372078718358,55.14548000000004
14,54.33624454225355,56.64848000000005
15,55.16539909179691,57.935480000000084
16,54.966965777080105,57.24896000000005
17,54.23919435832028,52.84484375000004
18,52.6428709404206,47.694076250000045
19,50.945062323943695,44.68694000000005
20,48.93972727803742,41.687723750000075
21,47.81142232567357,40.79846750000007
22,47.01380062400954,40.892000000000074
23,45.974047850946405,37.97353625000004
