hour,avg_temp_F,temp_F
0,45.20260303571432,30.814632500000037
1,44.664812844488225,30.852860000000057
2,43.87763079292531,30.108447500000032
3,43.34151919572111,30.09104375000003
4,43.15505026244171,30.192620000000034
5,42.70875070422539,29.97320000000004
6,42.67727930424531,30.035120000000052
7,42.763480870327136,30.553880000000042
8,42.97485059200314,33.51848000000005
9,43.51332048611115,33.884960000000035
10,45.14423694595649,35.74328000000005
11,48.21250514876356,48.371607500000074
12,51.07433828855144,49.732643750000065
13,52.86372078718358,49.193780000000054
14,54.33624454225355,52.16214875000003
15,55.16539909179691,53.14569125000004
16,54.966965777080105,46.64642000000007
17,54.23919435832028,50.124188750000044
18,52.6428709404206,46.11920000000007
19,50.945062323943695,43.73052125000004
20,48.93972727803742,39.27848000000002
21,47.81142232567357,36.44276000000002
22,47.01380062400954,36.56408000000002
23,45.974047850946405,33.96607250000007
