hour,avg_temp_F,temp_F
0,45.20260303571432,39.12332000000008
1,44.664812844488225,38.47784000000005
2,43.87763079292531,38.06348000000003
3,43.34151919572111,38.46056000000005
4,43.15505026244171,38.26526000000005
5,42.70875070422539,36.91387625000005
6,42.67727930424531,36.25244375000007
7,42.763480870327136,36.73598000000006
8,42.97485059200314,36.27368375000006
9,43.51332048611115,38.25487625000006
10,45.14423694595649,44.00960000000007
11,48.21250514876356,46.59488375000002
12,51.07433828855144,52.953676250000036
13,52.86372078718358,53.545820000000035
14,54.33624454225355,55.702523750000026
15,55.16539909179691,56.799567500000045
16,54.966965777080105,52.22702750000011
17,54.23919435832028,54.48798500000005
18,52.6428709404206,51.07940375000005
19,50.945062323943695,49.579340000000066
20,48.93972727803742,47.21443250000002
21,47.81142232567357,44.12612750000005
22,47.01380062400954,43.750186250000034
23,45.974047850946405,39.99678125000005
