hour,avg_temp_F,temp_F
0,45.20260303571432,38.21491625000006
1,44.664812844488225,37.51430000000002
2,43.87763079292531,36.73639625000003
3,43.34151919572111,36.23084375000005
4,43.15505026244171,35.95766000000003
5,42.70875070422539,35.590640000000036
6,42.67727930424531,35.049560000000064
7,42.763480870327136,35.200760000000045
8,42.97485059200314,34.72724750000005
9,43.51332048611115,37.71116375000006
10,45.14423694595649,42.05930000000004
11,48.21250514876356,42.778883750000055
12,51.07433828855144,50.89555625000004
13,52.86372078718358,51.260900000000035
14,54.33624454225355,54.73184000000005
15,55.16539909179691,55.497200000000056
16,54.966965777080105,52.47761000000004
17,54.23919435832028,51.38492000000006
18,52.6428709404206,48.318440000000045
19,50.945062323943695,45.39974000000004
20,48.93972727803742,41.567720000000065
21,47.81142232567357,41.91872000000007
22,47.01380062400954,41.250920000000065
23,45.974047850946405,39.449120000000086
