hour,avg_temp_F,temp_F
0,45.20260303571432,38.95578500000006
1,44.664812844488225,40.55180000000002
2,43.87763079292531,40.23464000000003
3,43.34151919572111,38.59502000000006
4,43.15505026244171,40.40528000000005
5,42.70875070422539,38.722167500000054
6,42.67727930424531,40.48892375000006
7,42.763480870327136,40.738640000000046
8,42.97485059200314,42.068963750000044
9,43.51332048611115,42.035776250000055
10,45.14423694595649,45.83264000000003
11,48.21250514876356,48.767967500000054
12,51.07433828855144,55.533312500000044
13,52.86372078718358,56.769080000000045
14,54.33624454225355,58.62643250000004
15,55.16539909179691,59.159727500000045
16,54.966965777080105,59.285480000000106
17,54.23919435832028,55.74146000000003
18,52.6428709404206,51.78992000000005
19,50.945062323943695,51.30896000000005
20,48.93972727803742,49.26331625000008
21,47.81142232567357,47.25404375000004
22,47.01380062400954,45.471920000000054
23,45.974047850946405,43.89488375000006
