hour,temp_F
0,36.25754000000004
1,35.39012000000005
2,34.89787625000004
3,34.11836375000005
4,34.09448000000003
5,34.087156250000035
6,33.26839250000005
7,33.537380000000056
8,34.81004750000005
9,36.962352500000044
10,38.68898000000003
11,51.07471250000005
12,52.28335625000004
13,51.85616000000007
14,53.61008000000005
15,57.28640000000006
16,53.65463000000007
17,54.05718875000006
18,50.001811250000046
19,46.64444000000002
20,40.18843625000003
21,38.960003750000034
22,39.855740000000026
23,37.26608000000002
