hour,avg_temp_F,temp_F
0,45.20260303571432,33.94063625000006
1,44.664812844488225,33.59066000000006
2,43.87763079292531,32.79680375000007
3,43.34151919572111,32.55499625000009
4,43.15505026244171,32.566640000000085
5,42.70875070422539,31.60208750000003
6,42.67727930424531,31.529243750000028
7,42.763480870327136,32.034200000000034
8,42.97485059200314,35.37307625000004
9,43.51332048611115,35.68544375000003
10,45.14423694595649,37.57280000000003
11,48.21250514876356,45.197363750000065
12,51.07433828855144,49.57364750000009
13,52.86372078718358,50.52092000000006
14,54.33624454225355,54.63666500000005
15,55.16539909179691,55.32345500000004
16,54.966965777080105,48.988760000000056
17,54.23919435832028,52.016000000000055
18,52.6428709404206,48.02180000000004
19,50.945062323943695,44.61782000000003
20,48.93972727803742,41.139500000000055
21,47.81142232567357,38.25140000000005
22,47.01380062400954,38.28308000000003
23,45.974047850946405,37.278680000000065
