hour,avg_temp_F,temp_F
0,45.20260303571432,38.38808750000006
1,44.664812844488225,38.21738000000005
2,43.87763079292531,37.56536375000003
3,43.34151919572111,37.790476250000026
4,43.15505026244171,37.955660000000016
5,42.70875070422539,36.61988000000005
6,42.67727930424531,36.44600000000005
7,42.763480870327136,36.45032000000005
8,42.97485059200314,36.82195250000002
9,43.51332048611115,37.82649875000004
10,45.14423694595649,44.25783125000007
11,48.21250514876356,44.13007625000004
12,51.07433828855144,49.42916375000002
13,52.86372078718358,49.590320000000034
14,54.33624454225355,50.26196750000006
15,55.16539909179691,51.337883750000074
16,54.966965777080105,46.17572000000003
17,54.23919435832028,49.33100750000004
18,52.6428709404206,46.248203750000094
19,50.945062323943695,43.414970000000025
20,48.93972727803742,40.047676250000045
21,47.81142232567357,39.47660375000005
22,47.01380062400954,38.73074000000005
23,45.974047850946405,37.49912375000004
