hour,avg_temp_F,temp_F
0,45.20260303571432,37.345572500000024
1,44.664812844488225,37.08410000000002
2,43.87763079292531,36.447316250000036
3,43.34151919572111,35.59652375000003
4,43.15505026244171,35.56256000000005
5,42.70875070422539,36.71180375000005
6,42.67727930424531,36.40592750000005
7,42.763480870327136,36.79520000000006
8,42.97485059200314,37.74524000000004
9,43.51332048611115,39.81632000000003
10,45.14423694595649,41.65412000000006
11,48.21250514876356,45.93392375000004
12,51.07433828855144,50.78971625000006
13,52.86372078718358,52.37636000000005
14,54.33624454225355,53.53916000000005
15,55.16539909179691,53.88998000000004
16,54.966965777080105,49.81521875000007
17,54.23919435832028,51.19398500000004
18,52.6428709404206,48.14720375000005
19,50.945062323943695,44.33864000000004
20,48.93972727803742,40.72532000000005
21,47.81142232567357,40.498160000000055
22,47.01380062400954,40.644320000000036
23,45.974047850946405,39.08546375000002
