hour,avg_temp_F,temp_F,month,dom,year,doy
0,45.20260303571432,30.814632500000037,1,1,2015,1
1,44.664812844488225,30.852860000000057,1,1,2015,1
2,43.87763079292531,30.108447500000032,1,1,2015,1
3,43.34151919572111,30.09104375000003,1,1,2015,1
4,43.15505026244171,30.192620000000034,1,1,2015,1
5,42.70875070422539,29.97320000000004,1,1,2015,1
6,42.67727930424531,30.035120000000052,1,1,2015,1
7,42.763480870327136,30.553880000000042,1,1,2015,1
8,42.97485059200314,33.51848000000005,1,1,2015,1
9,43.51332048611115,33.884960000000035,1,1,2015,1
10,45.14423694595649,35.74328000000005,1,1,2015,1
11,48.21250514876356,48.371607500000074,1,1,2015,1
12,51.07433828855144,49.732643750000065,1,1,2015,1
13,52.86372078718358,49.193780000000054,1,1,2015,1
14,54.33624454225355,52.16214875000003,1,1,2015,1
15,55.16539909179691,53.14569125000004,1,1,2015,1
16,54.966965777080105,46.64642000000007,1,1,2015,1
17,54.23919435832028,50.124188750000044,1,1,2015,1
18,52.6428709404206,46.11920000000007,1,1,2015,1
19,50.945062323943695,43.73052125000004,1,1,2015,1
20,48.93972727803742,39.27848000000002,1,1,2015,1
21,47.81142232567357,36.44276000000002,1,1,2015,1
22,47.01380062400954,36.56408000000002,1,1,2015,1
23,45.974047850946405,33.96607250000007,1,1,2015,1
0,45.20260303571432,33.94063625000006,1,2,2015,2
1,44.664812844488225,33.59066000000006,1,2,2015,2
2,43.87763079292531,32.79680375000007,1,2,2015,2
3,43.34151919572111,32.55499625000009,1,2,2015,2
4,43.15505026244171,32.566640000000085,1,2,2015,2
5,42.70875070422539,31.60208750000003,1,2,2015,2
6,42.67727930424531,31.529243750000028,1,2,2015,2
7,42.763480870327136,32.034200000000034,1,2,2015,2
8,42.97485059200314,35.37307625000004,1,2,2015,2
9,43.51332048611115,35.68544375000003,1,2,2015,2
10,45.14423694595649,37.57280000000003,1,2,2015,2
11,48.21250514876356,45.197363750000065,1,2,2015,2
12,51.07433828855144,49.57364750000009,1,2,2015,2
13,52.86372078718358,50.52092000000006,1,2,2015,2
14,54.33624454225355,54.63666500000005,1,2,2015,2
15,55.16539909179691,55.32345500000004,1,2,2015,2
16,54.966965777080105,48.988760000000056,1,2,2015,2
17,54.23919435832028,52.016000000000055,1,2,2015,2
18,52.6428709404206,48.02180000000004,1,2,2015,2
19,50.945062323943695,44.61782000000003,1,2,2015,2
20,48.93972727803742,41.139500000000055,1,2,2015,2
21,47.81142232567357,38.25140000000005,1,2,2015,2
22,47.01380062400954,38.28308000000003,1,2,2015,2
23,45.974047850946405,37.278680000000065,1,2,2015,2
0,45.20260303571432,36.25754000000004,1,3,2015,3
1,44.664812844488225,35.39012000000005,1,3,2015,3
2,43.87763079292531,34.89787625000004,1,3,2015,3
3,43.34151919572111,34.11836375000005,1,3,2015,3
4,43.15505026244171,34.09448000000003,1,3,2015,3
5,42.70875070422539,34.087156250000035,1,3,2015,3
6,42.67727930424531,33.26839250000005,1,3,2015,3
7,42.763480870327136,33.537380000000056,1,3,2015,3
8,42.97485059200314,34.81004750000005,1,3,2015,3
9,43.51332048611115,36.962352500000044,1,3,2015,3
10,45.14423694595649,38.68898000000003,1,3,2015,3
11,48.21250514876356,51.07471250000005,1,3,2015,3
12,51.07433828855144,52.28335625000004,1,3,2015,3
13,52.86372078718358,51.85616000000007,1,3,2015,3
14,54.33624454225355,53.61008000000005,1,3,2015,3
15,55.16539909179691,57.28640000000006,1,3,2015,3
16,54.966965777080105,53.65463000000007,1,3,2015,3
17,54.23919435832028,54.05718875000006,1,3,2015,3
18,52.6428709404206,50.001811250000046,1,3,2015,3
19,50.945062323943695,46.64444000000002,1,3,2015,3
20,48.93972727803742,40.18843625000003,1,3,2015,3
21,47.81142232567357,38.960003750000034,1,3,2015,3
22,47.01380062400954,39.855740000000026,1,3,2015,3
23,45.974047850946405,37.26608000000002,1,3,2015,3
0,45.20260303571432,36.770000000000024,1,4,2015,4
1,44.664812844488225,37.18940000000002,1,4,2015,4
2,43.87763079292531,36.81716000000005,1,4,2015,4
3,43.34151919572111,36.923000000000066,1,4,2015,4
4,43.15505026244171,36.92336000000004,1,4,2015,4
5,42.70875070422539,36.73124375000007,1,4,2015,4
6,42.67727930424531,36.64315625000007,1,4,2015,4
7,42.763480870327136,37.231700000000075,1,4,2015,4
8,42.97485059200314,38.78612375000007,1,4,2015,4
9,43.51332048611115,40.678036250000076,1,4,2015,4
10,45.14423694595649,42.147320000000065,1,4,2015,4
11,48.21250514876356,42.55676375000007,1,4,2015,4
12,51.07433828855144,54.984076250000044,1,4,2015,4
13,52.86372078718358,55.14548000000004,1,4,2015,4
14,54.33624454225355,56.64848000000005,1,4,2015,4
15,55.16539909179691,57.935480000000084,1,4,2015,4
16,54.966965777080105,57.24896000000005,1,4,2015,4
17,54.23919435832028,52.84484375000004,1,4,2015,4
18,52.6428709404206,47.694076250000045,1,4,2015,4
19,50.945062323943695,44.68694000000005,1,4,2015,4
20,48.93972727803742,41.687723750000075,1,4,2015,4
21,47.81142232567357,40.79846750000007,1,4,2015,4
22,47.01380062400954,40.892000000000074,1,4,2015,4
23,45.974047850946405,37.97353625000004,1,4,2015,4
0,45.20260303571432,37.345572500000024,1,5,2015,5
1,44.664812844488225,37.08410000000002,1,5,2015,5
2,43.87763079292531,36.447316250000036,1,5,2015,5
3,43.34151919572111,35.59652375000003,1,5,2015,5
4,43.15505026244171,35.56256000000005,1,5,2015,5
5,42.70875070422539,36.71180375000005,1,5,2015,5
