hour,avg_temp_F,temp_F
0,45.20260303571432,36.25754000000004
1,44.664812844488225,35.39012000000005
2,43.87763079292531,34.89787625000004
3,43.34151919572111,34.11836375000005
4,43.15505026244171,34.09448000000003
5,42.70875070422539,34.087156250000035
6,42.67727930424531,33.26839250000005
7,42.763480870327136,33.537380000000056
8,42.97485059200314,34.81004750000005
9,43.51332048611115,36.962352500000044
10,45.14423694595649,38.68898000000003
11,48.21250514876356,51.07471250000005
12,51.07433828855144,52.28335625000004
13,52.86372078718358,51.85616000000007
14,54.33624454225355,53.61008000000005
15,55.16539909179691,57.28640000000006
16,54.966965777080105,53.65463000000007
17,54.23919435832028,54.05718875000006
18,52.6428709404206,50.001811250000046
19,50.945062323943695,46.64444000000002
20,48.93972727803742,40.18843625000003
21,47.81142232567357,38.960003750000034
22,47.01380062400954,39.855740000000026
23,45.974047850946405,37.26608000000002
