hour,avg_temp_F,temp_F
0,45.20260303571432,37.94311625000006
1,44.664812844488225,37.841360000000044
2,43.87763079292531,36.55892750000005
3,43.34151919572111,36.59552375000004
4,43.15505026244171,35.45285000000003
5,42.70875070422539,35.106687500000035
6,42.67727930424531,35.31500375000003
7,42.763480870327136,35.79422000000003
8,42.97485059200314,39.197232500000055
9,43.51332048611115,40.216167500000054
10,45.14423694595649,42.14660000000006
11,48.21250514876356,45.719240000000035
12,51.07433828855144,48.589520000000036
13,52.86372078718358,49.66664000000002
14,54.33624454225355,51.331527500000036
15,55.16539909179691,51.50744375000007
16,54.966965777080105,47.40332000000008
17,54.23919435832028,45.062487500000046
18,52.6428709404206,44.09144375000004
19,50.945062323943695,42.11330000000003
20,48.93972727803742,39.21811250000007
21,47.81142232567357,39.07531625000006
22,47.01380062400954,39.33458375000006
23,45.974047850946405,38.62411250000004
